schema: *key, $text
Settings.RoadsJunctionMap.Description, "Настройте появление миникарты на перекрестках или всегда при путешествии в реальном времени вдоль дорог"
Settings.RoadsJunctionMap.Enable.Name, "Включено"
Settings.RoadsJunctionMap.Enable.Description, "Вкл. миникарту на перекрестках"
Settings.RoadsJunctionMap.PersistentMap.Name, "Всегда"
Settings.RoadsJunctionMap.PersistentMap.Description, "Всегда показывать миникарту при путешествии в реальном времени вдоль дорог"
Settings.RoadsJunctionMap.ScreenSize.Name, "Размер"
Settings.RoadsJunctionMap.ScreenSize.Description, "Высота и ширина миникарты на экране"
Settings.RoadsJunctionMap.ScreenPositionX.Name, "Горизонталь"
Settings.RoadsJunctionMap.ScreenPositionX.Description, "Горизонтальная позиция миникарты"
Settings.RoadsJunctionMap.ScreenPositionY.Name, "Вертикаль"
Settings.RoadsJunctionMap.ScreenPositionY.Description, "Вертикальная позиция миникарты"
Settings.RoadsJunctionMap.FilterMode.Name, "Фильтр"
Settings.RoadsJunctionMap.FilterMode.Description, "Текстурная фильтрация миникарты"
Settings.RoadsJunctionMap.Circular.Name, "Круглая"
Settings.RoadsJunctionMap.Circular.Description, "Отображать карту в виде круга, а не прямоугольника (не применяется цвет фона)"
Settings.RoadsJunctionMap.PlayerColor.Name, "Цвет игрока"
Settings.RoadsJunctionMap.PlayerColor.Description, "Цвет, используемый для линии индикатора положения и направления игрока"
Settings.RoadsJunctionMap.Opaque.Name, "Непрозрачность"
Settings.RoadsJunctionMap.Opaque.Description, "Отобразить мини-карту с непрозрачным цветом фона (не подходит для размещения в центре экрана)"
Settings.RoadsJunctionMap.BackgroundColor.Name, "Задний фон"
Settings.RoadsJunctionMap.BackgroundColor.Description, "Цвет непрозрачного фона, используемый для мини-карты"

- Presets
Presets.DefaultSettings.Title, "По-умолчанию"
Presets.DefaultSettings.Description, "Сбросить все настройки, кроме миникарты, к стандартным"
Presets.BalancedTravel.Title, "Баланс"
Presets.BalancedTravel.Description, "Сбалансированная интеграция путешествий в реальном времени"
Presets.FreedomTravel.Title, "Свободно"
Presets.FreedomTravel.Description, "Свобода выбора между быстрым перемещением и путешествием в реальном времени при выборе 'Безрассудно', 'Пешком/На лошади', и 'Ночь у костра'"
Presets.TediousTravel.Title, "Утомительно"
Presets.TediousTravel.Description, "Путешествия более утомительны и близки к моду Tedious Travel"
Presets.JunctionMap-DefaultSettings.Title, "Миникарта по-умолчанию"
Presets.JunctionMap-DefaultSettings.Description, "Стандартные настройки миникарты"
Presets.JunctionMap-Center.Title, "Миникарта в центре"
Presets.JunctionMap-Center.Description, "Нормального размера миникарта в центре экрана"
Presets.JunctionMap-TopCenter.Title, "Миникарта вверху в центре"
Presets.JunctionMap-TopCenter.Description, "Нормального размера миникарта вверху в центре экрана"
Presets.JunctionMap-MediumTopLeft.Title, "Миникарта слева вверху"
Presets.JunctionMap-MediumTopLeft.Description, "Небольшого размера миникарта слева вверху экрана"
Presets.JunctionMap-MediumTopRight.Title, "Миникарта справа вверху"
Presets.JunctionMap-MediumTopRight.Description, "Небольшого размера миникарта справа вверху экрана"
